"ticket_id","city","issue_type","ticket_status","issue_description","ticket_closed_date_time","ticket_created_date_time","ticket_last_updated_date_time","address","lat","lng","location","image"
"22123877","Cambridge","Rodent Sighting","Closed","There are at least five rats hiding under this dumpster outside of 2nd street cafe. I’ve seen at least one rodent regularly on spring street between third and 2nd street in east Cambridge most evenings.","07/06/2026 09:02:38 AM","06/30/2026 08:31:28 PM","2026 Jul 06 09:02:38 AM","30 Spring St Cambridge, MA, 02141, USA","42.36872843424","-71.07921411777","POINT (-71.07921411776684 42.36872843423796)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDIzMzA5MzcsInB1ciI6ImJsb2JfaWQifX0=--91eadcbead792daea4145d6ea24aa470b8d88cca/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJhdXRvX29yaWVudCI6dHJ1ZSwic3RyaXAiOnRydWUsInJlc2l6ZSI6IjgwMHg2MDAifSwicHVyIjoidmFyaWF0aW9uIn19--242b3e94addeeae50b5fd8df8a0a8fbcf02bf33c/770c600a-1e96-4d71-a5cb-f7cd87241ec4_2026-06-30T20-29-38-04-00.jpg"
"22157483","Cambridge","Rodent Sighting","Open","We saw a rat at this raised garden bed and as you can see he moved away the pebble/rocks and went underneath.  There are a few holes in the grass in front of house as well.",,"07/05/2026 06:26:08 PM","2026 Jul 05 06:26:14 PM","20 Berkeley St Cambridge, Massachusetts, 02138","42.37845361208","-71.12619021494","POINT (-71.1261902149423 42.37845361208442)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDI0Mzc1MzcsInB1ciI6ImJsb2JfaWQifX0=--30fa67b8d3180e0eaa52ed155090bc1efa119257/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJhdXRvX29yaWVudCI6dHJ1ZSwic3RyaXAiOnRydWUsInJlc2l6ZSI6IjgwMHg2MDAifSwicHVyIjoidmFyaWF0aW9uIn19--242b3e94addeeae50b5fd8df8a0a8fbcf02bf33c/786139dd-7871-4427-9e66-3663a4a68186_2026-07-05T18-24-05-04-00.jpg"
"22156557","Cambridge","Rodent Sighting","Open","At 11pm on July 4th, we saw a rat run across Arlington street and disappear into the stone garden wall on the 6 Arlington property.",,"07/05/2026 03:25:52 PM","2026 Jul 05 03:25:52 PM","6 Arlington St Cambridge, Massachusetts, 02140","42.3863049827","-71.11988165934","POINT (-71.11988165933633 42.38630498270055)",
"22147812","Cambridge","Rodent Sighting","Open","Five rodents hiding around the intersection of second and spring st. Came running out in both directions towards the homes on spring st and the building on thorndike when I walked past. They are quite large.",,"07/03/2026 08:43:11 PM","2026 Jul 04 08:10:54 AM","27-43 Spring St Cambridge, MA, 02141, USA","42.36886823083","-71.0792246312","POINT (-71.07922463119976 42.368868230830245)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDI0MDk4NjAsInB1ciI6ImJsb2JfaWQifX0=--de8fa08f52e8447d6ead9e4b7acb50e979d091b2/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwiYXV0b19vcmllbnQiOnRydWUsInN0cmlwIjp0cnVlLCJyZXNpemUiOiI4MDB4NjAwIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--a24cd3b9f26082c533845b9cc150d8421a819967/26e6bdc9-fce6-4655-8525-d8834d6e1e46_2026-07-03T20-42-05-04-00.jpeg"
"22148452","Cambridge","Rodent Sighting","Open","Just off Charles St., at the community garden entrance inside Lopez Park, the dead rodent in front of the stone next to the trash container was getting swarmed by insects this afternoon.",,"07/03/2026 11:49:46 PM","2026 Jul 03 11:49:54 PM","Lopez Park","42.36162819895","-71.105251","POINT (-71.10525100000001 42.3616281989453)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDI0MTE2OTQsInB1ciI6ImJsb2JfaWQifX0=--61aad900d40277512d3d55d8f8a9364d5563952e/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJhdXRvX29yaWVudCI6dHJ1ZSwic3RyaXAiOnRydWUsInJlc2l6ZSI6IjgwMHg2MDAifSwicHVyIjoidmFyaWF0aW9uIn19--242b3e94addeeae50b5fd8df8a0a8fbcf02bf33c/cf3a3471-9588-4edb-b941-b8d30300968f_2026-07-03T23-45-08-04-00.jpg"
"22148170","Cambridge","Rodent Sighting","Open",,,"07/03/2026 10:18:29 PM","2026 Jul 03 10:18:30 PM","14 Michael Way Cambridge, MA, 02141, USA","42.36983986546","-71.08946054759","POINT (-71.08946054758944 42.36983986546471)",
"22148168","Cambridge","Rodent Sighting","Open","Saw rat come in and out of our backyard",,"07/03/2026 10:18:22 PM","2026 Jul 03 10:18:23 PM","14 Michael Way Cambridge, Massachusetts, 02141","42.36983986546","-71.08946054759","POINT (-71.08946054758944 42.36983986546471)",
"22136292","Cambridge","Rodent Sighting","Closed","213 Rindge has overflowing trash and bags left out, with rats around them in the morning/evening","07/02/2026 03:12:31 PM","07/02/2026 10:14:02 AM","2026 Jul 02 03:12:31 PM","213 Rindge Ave Cambridge, Massachusetts, 02140","42.39361010469","-71.13296153542","POINT (-71.13296153542258 42.39361010468661)",
"22099062","Cambridge","Rodent Sighting","Closed","Saw 4 rats scurrying in front of the building at around 10:00 pm Saturday night (6/27)","07/01/2026 02:38:55 PM","06/28/2026 11:48:09 AM","2026 Jul 01 02:38:55 PM","16 Edmunds St Cambridge, Massachusetts, 02140","42.39842135902","-71.13230774697","POINT (-71.1323077469749 42.39842135902017)",
"22097032","Cambridge","Rodent Sighting","Closed","The residents of Newman, Foch and Gladstone have had multiple sightings of rats running through back yards and driveways.  All residents are interested in getting rat traps and any guidance from inspectional services on how to eliminate the problem.","07/01/2026 07:56:13 AM","06/27/2026 08:14:04 PM","2026 Jul 01 07:56:14 AM","Newman St Cambridge, Massachusetts, 02140","42.40061328957","-71.13419145399","POINT (-71.13419145398503 42.40061328956542)",
"22112527","Cambridge","Rodent Sighting","Closed","Massive rat activity on the back of BOTH SIDES of this building!!!
I just saw at 7:15pm, over ten (10) rats running around in daylight. Took pictures and videos. Also on the back right, there is clearly a huge rats burrow with holes, and just saw rats actually going in and out of it.
Major infestation! Must exterminate immediately all around this property, please!","06/30/2026 03:58:52 PM","06/29/2026 07:18:06 PM","2026 Jun 30 03:58:52 PM","87 2nd St Cambridge, Massachusetts, 02141","42.36852411963","-71.0792486776","POINT (-71.07924867759883 42.3685241196286)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDIyOTY0NzMsInB1ciI6ImJsb2JfaWQifX0=--d1cc4945c05191482367e89078e83824714eb372/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJhdXRvX29yaWVudCI6dHJ1ZSwic3RyaXAiOnRydWUsInJlc2l6ZSI6IjgwMHg2MDAifSwicHVyIjoidmFyaWF0aW9uIn19--242b3e94addeeae50b5fd8df8a0a8fbcf02bf33c/ac925959-aba3-4ef8-a556-9ab1c5393c4f_2026-06-29T19-12-32-04-00.jpg"
"22071679","Cambridge","Rodent Sighting","Closed","Large rat running along the back driveway and what appears to be overflowing uncovered trash that wasn't left out for pickup today. 5 pm sighting","06/29/2026 05:24:59 PM","06/24/2026 05:16:10 PM","2026 Jun 29 05:24:59 PM","36 Roberts Rd Cambridge, Massachusetts, 02138","42.37682333192","-71.10817323025","POINT (-71.10817323024764 42.37682333191633)",
"22058507","Cambridge","Rodent Sighting","Closed","Gigantic rat went from the street in not the yard - looks a bit injured or sick- you can see it in the photo by the gutter downspout","06/29/2026 05:14:08 PM","06/23/2026 02:19:39 PM","2026 Jun 29 05:14:08 PM","39 Line St CAMBRIDGE, MA, 02138, USA","42.37700550554","-71.10619640056","POINT (-71.10619640055904 42.37700550553893)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDIxMTk4OTgsInB1ciI6ImJsb2JfaWQifX0=--480a053bfa0e7f70562c59c41a88eb905072c481/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwiYXV0b19vcmllbnQiOnRydWUsInN0cmlwIjp0cnVlLCJyZXNpemUiOiI4MDB4NjAwIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--a24cd3b9f26082c533845b9cc150d8421a819967/f992379d-b1bf-418a-84e6-b2443e5ecc50_2026-06-23T14-17-43-04-00.jpeg"
"22103274","Cambridge","Rodent Sighting","Closed","There are quite a few large rats in the Cambridge CX park - they go in and out of all those garbage cans in the evening. Some of them are almost as large as a medium size bunny. The tail however identifies them.","06/29/2026 04:36:21 PM","06/29/2026 08:10:41 AM","2026 Jun 29 04:36:21 PM","326 Morgan Ave Cambridge, MA, 02141, USA","42.3714962281","-71.07473320826","POINT (-71.07473320825598 42.37149622809709)",
"22046733","Cambridge","Rodent Sighting","Archived","I am currently in shelter here there is clear sighting of rodents there is also indication of pest as well, I am an asthmatic and I have documented allergy to cockroaches and mice. Since being placed here me and my child’s health has been declining, there is  also sighting of either mold or mildew in the AC unit in my room","06/26/2026 10:28:17 AM","06/22/2026 02:02:35 PM","2026 Jun 26 11:40:29 AM","39 Bishop Richard Allen Dr Cambridge, Massachusetts, 02139","42.36456877992","-71.09979375782","POINT (-71.09979375782413 42.36456877992284)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDIwNzMwODEsInB1ciI6ImJsb2JfaWQifX0=--63729a9f2acf865ac00f1381a8c7477fac5068d0/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwiYXV0b19vcmllbnQiOnRydWUsInN0cmlwIjp0cnVlLCJyZXNpemUiOiI4MDB4NjAwIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--a24cd3b9f26082c533845b9cc150d8421a819967/cbef22ae-3f27-4a4e-a3e1-bacb49e30493_2026-06-22T13-56-56-04-00.jpeg"
"22078497","Cambridge","Rodent Sighting","Archived","Walked by this location on my way to work this morning and saw a scurry. Wasn’t able to capture it in the photo.","06/26/2026 11:02:04 AM","06/25/2026 12:39:35 PM","2026 Jun 26 11:02:04 AM","74 Spring St Cambridge, MA, 02141, USA","42.36895200441","-71.08149488973","POINT (-71.081494889726 42.368952004411)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDIxODU3OTEsInB1ciI6ImJsb2JfaWQifX0=--c60ef39038ee73cd3ea8337a8ffd267bde14c72b/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJhdXRvX29yaWVudCI6dHJ1ZSwic3RyaXAiOnRydWUsInJlc2l6ZSI6IjgwMHg2MDAifSwicHVyIjoidmFyaWF0aW9uIn19--242b3e94addeeae50b5fd8df8a0a8fbcf02bf33c/129e7e23-0c59-4450-a189-04b3b27b9b48_2026-06-25T12-38-23-04-00.jpg"
