"serial_number","device_name","address","latitude","longitude","active_site","device_type","total_since_install","prior_to_2023","total_2023","total_2024","total_2025","total_2026","january_2026","february_2026","march_2026","april_2026","may_2026","june_2026","july_2026","august_2026","september_2026","october_2026","november_2026","december_2026","participatory_budgeting","coordinates"
"21005196","NOT IN WP","",,,"false","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes",
"21100945","(PB) INMAN SQUARE INSIDE TRASH HOUSE ATTACHED TO FENCE","504 Windsor St","42.373","-71.093","true","Box","2",,"0","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0","Yes","POINT (-71.09300926 42.37300709)"
"21088399","(PB) CENTRAL SQUARE TRASH HOUSE 1","1 Newtowne Ct","42.3637","-71.0963","true","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","POINT (-71.0963222 42.3636794)"
"21007051","WAR MEMORIAL REC CENTER","1640 Cambridge St","42.3748","-71.1098","false","Box","13","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1098287 42.3747536)"
"21088760"," #KC CITY OF CAMBRIDGE PB #SN CENTRAL SQ IN CORNER OF PARKING LOT ALONG FENCE. BY ELECTRICAL METER"," 60 Prospect St","42.3665","-71.1028","true","Box","2",,"0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","Yes","POINT (-71.10284741 42.36651004)"
"17000778","JEFFERSON STREET","33 Jefferson St","42.3732","-71.0896","false","Pipe","308","0","38","38","23","209","157","0","0","0","52","0","0","0","0","0","0","0","No","POINT (-71.0895915 42.3732189)"
"21006960","MASS AVE BACK ALLEY","502 Mass Ave","42.3639","-71.1018","false","Box","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1018 42.36394)"
"21081170","(DPW) HARVARD SQUARE CEMETERY BEHIND 23 CHURCH STREET IN OLD BURIAL CEMETERY","23 Church St","42.3747","-71.1199","true","Box","8",,"0","0","0","8","0","0","0","0","8","0","0","0","0","0","0","0","No","POINT (-71.11986003 42.37465191)"
"17000077","#KC CITY OF CAMBRIDGE #45 PEMBERTON MANHOLE AND DRIVEWAY BETWEEN 49 AND 55","45 Pemberton St","42.3914","-71.1258","false","Pipe","18",,"0","0","0","18","3","3","9","3","0","0","0","0","0","0","0","0","","POINT (-71.1257809 42.3913832)"
"21006397","CAMBRIDGE PARK UNDER LOADING DOCK DECK","125 Cambridgepark Dr","42.395","-71.1459","true","Box","2",,"0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","No","POINT (-71.1458594 42.3950462)"
"21007222","CAMBRIDGE PUBLIC LIBRARY BIKE RACK LEFT SIDE OF PARKING GARAGE	","454 Broadway","42.3737","-71.1115","true","Box","5",,"0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.111511 42.373653)"
"21080056","(DPW) HARVARD SQUARE ALONG BACK WALL BEHIND 20 ELIOT STREET. LEFT OF HARVARD SQUARE PARKING GARAGE.","20 Eliot Street","42.3721","-71.1212","true","Box","10",,"0","0","0","10","0","0","0","0","8","1","1","0","0","0","0","0","No","POINT (-71.12120531 42.37212806)"
"21007215","NEWTON ST ","9 Newton St","42.3583","-71.1109","false","Box","6",,"0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1108843 42.3583116)"
"21001159","VELLUCCI PARK BACK RIGHT CORNER 687 CAMBRIDGE ST","687 Cambridge St","42.3722","-71.0879","false","Box","11","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0879 42.37221)"
"21006862","GREEN ROSE PARK","155 Harvard St","42.3659","-71.0947","false","Box","10","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0946606 42.3658686)"
"21100769","(PB) HARVARD SQUARE ALONG THE WALL BACK RIGHT PATIO.","8 Eliot Street","42.3723","-71.1214","true","Box","4",,"0","0","0","4","0","0","0","0","0","4","0","0","0","0","0","0","Yes","POINT (-71.12143531 42.37226617)"
"17001014","JFK AND WINTHROP","50 John F. Kennedy St","42.3721","-71.1205","false","Pipe","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1204566 42.37212539)"
"21100841","(PB) SHANNONS TOWN BACK LEFT CORNER OF COMMUNITY GARDE ALONG BUILDING","27 Elmer st","42.366","-71.1143","true","Box","2",,"0","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0","Yes","POINT (-71.114319 42.3660155)"
"20121875","MASS AVE REAR ALLEY	","2380 Massachusetts Ave","42.3965","-71.1299","true","Box","31","0","8","5","14","4","0","0","4","0","0","0","0","0","0","0","0","0","No","POINT (-71.12989 42.396454)"
"17000053","26 FAIRFIELD","26 Fairfield St","42.3918","-71.1267","false","Pipe","14","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1266736 42.3918442)"
"21010508","CAMBRIDGE PUBLIC LIBRARY TOP OF PARKING GARAGE ","449 Broadway	","42.3741","-71.1106","true","Box","36",,"0","7","20","9","1","2","2","0","3","1","0","0","0","0","0","0","No","POINT (-71.11056593 42.37412272)"
"21060585","(addition) 120 HARVARD ST","120 Harvard St	","42.3651","-71.094","true","Box","21",,"0","0","12","9","0","0","0","3","1","5","0","0","0","0","0","0","Yes","POINT (-71.0940337 42.3650913)"
"21005902","CAMBRIDGEPARK DR FENCE BEHIND TRASH","130 Cambridge Park","42.3936","-71.1451","true","Box","7",,"0","0","5","2","0","0","1","0","1","0","0","0","0","0","0","0","No","POINT (-71.1451407 42.3936391)"
"21000549","CORNER OF EMILY ST AND BROOKLINE ST COMMUNITY GARDEN SHED 17","1 Emily St","42.3601","-71.105","false","Box","8","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.105 42.3601)"
"21090047","(PB) ACORN PARK ATTACHED TO THE BLACK FENCE BEHIND THE DUMPSTER AT THE BACK OF THE FIRST TOWER PARKING LOT","402 Rindge Ave","42.3931","-71.14","true","Box","3",,"0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","Yes","POINT (-71.1399904 42.3930672)"
"17000114","46 PORTER RD","46 Porter Rd","42.3891","-71.1218","false","Pipe","117","0","63","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1217962 42.389073)"
"21000576","RUSSELL FIELD ","359 Rindge Ave	","42.3947","-71.1375","true","Box","6",,"0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1374827 42.3947141)"
"21100988"," #KC CITY OF CAMBRIDGE PB #SN CENTRAL SQ BACK OF BUILDING BY VENT PIPES"," 55 Norfolk St","42.3656","-71.1013","true","Box","21",,"0","0","0","21","0","0","0","7","10","4","0","0","0","0","0","0","Yes","POINT (-71.1013371 42.36560442)"
"21006098","175 CAMBRIDGE DR RIGHT SIDE BEHIND DUMPSTER","40 York St","42.3693","-71.0923","true","Box","1",,"0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","No","POINT (-71.09227528 42.36930051)"
"21057419","(addition) CHA TRASH HOUSE 2 BOX 1","637 Main St","42.3639","-71.0951","true","Box","24",,"0","0","16","8","1","1","2","1","1","2","0","0","0","0","0","0","Yes","POINT (-71.0950831 42.3639036)"
"21005312","LARCH RD ","119 Larch Rd","42.3792","-71.1427","true","Box","31",,"0","5","9","17","4","0","0","1","5","7","0","0","0","0","0","0","No","POINT (-71.142722 42.3792)"
"16034812","34 FAIRFIELD","19 Fairfield St","42.3919","-71.1264","false","Pipe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1264 42.39192)"
"21089215","(PB) NORTH CAMBRIDGE RECYCLING CORRAL ALONG BACK FENCE. RIGHT SIDE OF CORRAL	","21 Walden St","42.3907","-71.1241","true","Box","4",,"0","0","0","4","0","0","0","0","1","3","0","0","0","0","0","0","Yes","POINT (-71.1240759 42.3906609)"
"21101261"," #KC CITY OF CAMBRIDGE PB #SN CENTRAL SQ ALONG WHITE FENCE IN PARK"," 372 Massachusetts Ave","42.3628","-71.1003","true","Box","1",,"0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","Yes","POINT (-71.10028286 42.36280548)"
"21006015","ROBERT PAINE SQ PLAYGROUND","Amory St","42.371","-71.1011","false","Box","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1010507 42.3710454)"
